DATAS;ATIVIDADES;TIPO DE ATIVIDADE;HORAS GASTAS
28/07/2025;Definição do projeto, escopo, entidades. Organização do Trello.;Planejamento e Modelagem;2
06/08/2025;Definição e documentação dos endpoints das entidades:Categoria, Instituicao, Oportunidade, PessoaInteressada e Interesse.Geração de tabela em .docx e documentação em .xml com estrutura detalhada dos métodos, rotas, entradas e saídas.;Análise Técnica e Documentação;3
08/08/2025; Criação e teste das tabelas categoria, instituicao, oportunidade, pessoa_interessada e interesse, incluindo chaves primárias, estrangeiras, constraints e índices. Inserção de dados de teste e validação dos relacionamentos no SQLiteStudio/SQLStudio. Geração de diagrama ER.;Modelagem de Banco de Dados e Implementação Técnica;3
23/08/2025;Configuração inicial do ambiente do projeto. Criação da pasta do projeto api-oportunidades, inicialização do Node.js com npm init, instalação das dependências principais (express, sqlite3, dotenv, nodemon). Estruturação das pastas base (src/controllers, src/routes, src/database, src/middlewares). Implementação do arquivo server.js e conexão simples com o banco SQLite através do módulo db.js. Teste de rotas básicas no navegador/Insomnia (/ e /teste-db).;Infraestrutura e Configuração de Ambiente;2
25/08/2025;Migração/validação do banco no SQLite. Verificação do esquema (PRAGMA table_info / foreign_key_list), criação de índices com IF NOT EXISTS, normalização de seeds com INSERT OR IGNORE. Criação de script de seed via Node (scripts/seed.js) e execução para garantir ambiente reprodutível.;Modelagem de Banco de Dados e Implementação Técnica;3
27/08/2025;Validação da integridade referencial do banco e atualização do modelo ER. Foi habilitada a verificação de chaves estrangeiras (PRAGMA foreign_keys = ON) e confirmada a ativação. Realizado teste de CASCADE, onde a exclusão de um registro em pessoa_interessada removeu automaticamente o vínculo em interesse. Testado também o RESTRICT, impedindo a exclusão de uma categoria que ainda possuía oportunidades vinculadas. Por fim, o diagrama ER foi atualizado no dbdiagram.io, com todas as entidades, atributos, tipos de dados, constraints, enums e relacionamentos, servindo como documentação visual do modelo.;Análise Técnica e Modelagem;2
07/10/2025;Implementar CRUD de Categorias (controller, rota, db, teste de API);Desenvolvimento Backend;3
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
21/09/2025;;;
22/09/2025;;;
23/09/2025;;;
24/09/2025;;;
25/09/2025;;;
26/09/2025;;;
27/09/2025;;;
28/09/2025;;;
29/09/2025;;;
30/09/2025;;;
01/10/2025;;;
02/10/2025;;;
03/10/2025;;;
04/10/2025;;;
05/10/2025;;;
06/10/2025;;;
07/10/2025;;;
08/10/2025;;;
09/10/2025;;;
10/10/2025;;;
11/10/2025;;;
12/10/2025;;;
13/10/2025;;;
14/10/2025;;;
15/10/2025;;;
16/10/2025;;;
17/10/2025;;;
18/10/2025;;;
19/10/2025;;;
20/10/2025;;;
21/10/2025;;;
22/10/2025;;;
23/10/2025;;;
24/10/2025;;;
25/10/2025;;;
26/10/2025;;;
27/10/2025;;;
28/10/2025;;;
29/10/2025;;;
30/10/2025;;;
31/10/2025;;;
01/11/2025;;;
02/11/2025;;;
03/11/2025;;;
04/11/2025;;;
05/11/2025;;;
06/11/2025;;;
07/11/2025;;;
08/11/2025;;;
09/11/2025;;;
10/11/2025;;;
11/11/2025;;;
12/11/2025;;;
13/11/2025;;;
14/11/2025;;;
